ano;desemp;suic
1950;5.3;11.3
1955;4.4;10.2
1960;5.5;10.6
1965;4.5;11.1
1968;3.6;10.7
1969;3.5;11.1
1970;4.9;11.5
1971;5.9;11.7
1972;5.6;12.0
1973;4.9;12.0
1974;5.6;12.1
1975;8.5;12.7
1976;7.7;12.5
1977;7.0;13.3
1980;7.5;"		12.2"
1981;8.8;"		12.3"
1982;9.7;"		12.5"
1983;8.3;"		12.4"
1984;7.3;"		12.6"
1985;7.0;"		12.5"
1986;6.6;"		13"
1987;5.7;"		12.8"
1988;5.3;"		12.5"
1989;5.4;"		12.3"
1990;5.6;"		12.5"
1991;6.8;"		12.3"
1992;7.5;"		12"
1993;6.9;"		12.1"
1994;6.12;"		11.9"
1995;5.65;"		11.8"
1996;5.45;"		11.5"
1997;5.0;"		11.2"
1998;4.51;"		11.1"
1999;4.22;"		10.5"
2000;3.99;"		10.4"
2001;4.73;"		10.7"
2002;5.78;"		10.9"
2003;5.99;"		10.8"
2004;5.53;"		11"
2005;5.08;"		10.9"
2006;4.62;"		11"
2007;4.62;"		11.3"
2008;5.78;"		11.6"
2009;9.25;"		11.8"
2010;9.63;"		12.1"
2011;8.95;"		12.3"
2012;8.07;"		12.6"
2013;7.37;"		12.6"
2014;6.17;"		13"
2015;5.28;"		13.3"
2016;4.87;"		13.5"
2017;4.36;"		14"
2018;3.9;"		14.2"
2019;3.67;"		13.9"
